id,name,address,rating,latitude,longitude,link,total_reviews,opening_hours,phone,combined_text
175,Sulanjana coffee & Eatery,"4W4Q+39H, Jl. Selabintana","4,8",-6.89434,106.938,https://www.google.com/maps/place/Sulanjana+coffee+%26+Eatery/data=!4m7!3m6!1s0x2e68490005edab03:0xe039e4cbe5aef4e6!8m2!3d-6.8943366!4d106.9382412!16s%2Fg%2F11lcjfyz5d!19sChIJA6vtBQBJaC4R5vSu5cvkOeA?authuser=0&hl=id&rclk=1,22,,,"Sulanjana coffee & Eatery 4W4Q+39H, Jl. Selabintana"
176,HERBIE Coffee,Jl. Pajajaran 1 RW13 blok AC9 No.RT.42,"5,0",-6.91993,106.898,https://www.google.com/maps/place/HERBIE+Coffee/data=!4m7!3m6!1s0x2e683786d7c5d17d:0xc86248525c81307e!8m2!3d-6.9199285!4d106.8982785!16s%2Fg%2F11mqwmgcfy!19sChIJfdHF14Y3aC4RfjCBXFJIYsg?authuser=0&hl=id&rclk=1,10,,,HERBIE Coffee Jl. Pajajaran 1 RW13 blok AC9 No.RT.42
177,D'Green Resto and Coffee,Jl. Selabintana No.54,"4,5",-6.90736,106.937,https://www.google.com/maps/place/D%27Green+Resto+and+Coffee/data=!4m7!3m6!1s0x2e6849b5e5e9edcf:0xe35fbd6ada039627!8m2!3d-6.9073637!4d106.9372068!16s%2Fg%2F11bw21bts8!19sChIJz-3p5bVJaC4RJ5YD2mq9X-M?authuser=0&hl=id&rclk=1,1750,,,D'Green Resto and Coffee Jl. Selabintana No.54
178,DISISICOFFEE,Jl. Pajagalan No.19,"4,7",-6.92511,106.923,https://www.google.com/maps/place/DISISICOFFEE/data=!4m7!3m6!1s0x2e6849eff3e014c3:0x11e11b79c57646c4!8m2!3d-6.9251134!4d106.9227412!16s%2Fg%2F11vjmrx97p!19sChIJwxTg8-9JaC4RxEZ2xXkb4RE?authuser=0&hl=id&rclk=1,14,,,DISISICOFFEE Jl. Pajagalan No.19
179,KOMIE,Jl. Sriwidari No.34,"4,6",-6.9161,106.927,https://www.google.com/maps/place/KOMIE/data=!4m7!3m6!1s0x2e6848324a063ead:0x12abf0f85733d51a!8m2!3d-6.916097!4d106.9267232!16s%2Fg%2F11fy933022!19sChIJrT4GSjJIaC4RGtUzV_jwqxI?authuser=0&hl=id&rclk=1,35,,,KOMIE Jl. Sriwidari No.34
180,Warga Holy,Alamat tidak ditemukan,"4,6",-6.91282,106.933,https://www.google.com/maps/place/Warga+Holy/data=!4m7!3m6!1s0x2e68496d3655607f:0x62c1b79b0a982d96!8m2!3d-6.9128191!4d106.9331877!16s%2Fg%2F11tjm04y4d!19sChIJf2BVNm1JaC4Rli2YCpu3wWI?authuser=0&hl=id&rclk=1,59,,,Warga Holy Alamat tidak ditemukan
181,Kopi Kenangan - Ruko Graha Siliwangi Sukabumi,Jl. Siliwangi,"4,4",-6.91536,106.936,https://www.google.com/maps/place/Kopi+Kenangan+-+Ruko+Graha+Siliwangi+Sukabumi/data=!4m7!3m6!1s0x2e6849f2fc031d6d:0x479d1776fb8bed89!8m2!3d-6.9153648!4d106.9359896!16s%2Fg%2F11j_82wszp!19sChIJbR0D_PJJaC4Rie2L-3YXnUc?authuser=0&hl=id&rclk=1,56,,,Kopi Kenangan - Ruko Graha Siliwangi Sukabumi Jl. Siliwangi
182,Kedai Kopi Jarian,Jl. Cipelang Leutik No.11-127,"4,9",-6.91695,106.929,https://www.google.com/maps/place/Kedai+Kopi+Jarian/data=!4m7!3m6!1s0x2e6849e5b6b9898d:0x81176234d53be1e5!8m2!3d-6.9169472!4d106.9294649!16s%2Fg%2F11g22_xftn!19sChIJjYm5tuVJaC4R5eE71TRiF4E?authuser=0&hl=id&rclk=1,21,,,Kedai Kopi Jarian Jl. Cipelang Leutik No.11-127
183,Kedai Kong Djie Coffee,Jl. Cikole Dalam No.13,"4,5",-6.91644,106.933,https://www.google.com/maps/place/Kedai+Kong+Djie+Coffee/data=!4m7!3m6!1s0x2e6849e8e84d91df:0x74d8d9c63caf77db!8m2!3d-6.9164429!4d106.9327046!16s%2Fg%2F11jnvrz59z!19sChIJ35FN6OhJaC4R23evPMbZ2HQ?authuser=0&hl=id&rclk=1,27,,,Kedai Kong Djie Coffee Jl. Cikole Dalam No.13
184,Weekly Coffee,Jl. RH. Didi Sukardi No.168,"4,4",-6.93299,106.932,https://www.google.com/maps/place/Weekly+Coffee/data=!4m7!3m6!1s0x2e6849c568074167:0x65783666e47290e4!8m2!3d-6.9329915!4d106.9320438!16s%2Fg%2F11rx3dj85k!19sChIJZ0EHaMVJaC4R5JBy5GY2eGU?authuser=0&hl=id&rclk=1,10,,,Weekly Coffee Jl. RH. Didi Sukardi No.168
185,All Sunday Space,Jl. Brawijaya No.7,"4,7",-6.91853,106.919,https://www.google.com/maps/place/All+Sunday+Space/data=!4m7!3m6!1s0x2e6849f1d1176885:0x3f92392b4651b16e!8m2!3d-6.9185349!4d106.919399!16s%2Fg%2F11twhvch7n!19sChIJhWgX0fFJaC4RbrFRRis5kj8?authuser=0&hl=id&rclk=1,38,,,All Sunday Space Jl. Brawijaya No.7
186,Cafe Kappe,Alamat tidak ditemukan,"4,4",-6.9165,106.932,https://www.google.com/maps/place/Cafe+Kappe/data=!4m7!3m6!1s0x2e6848343bea3bdf:0x546de04d1089fb19!8m2!3d-6.916497!4d106.9317668!16s%2Fg%2F11ckr9p0q2!19sChIJ3zvqOzRIaC4RGfuJEE3gbVQ?authuser=0&hl=id&rclk=1,121,,,Cafe Kappe Alamat tidak ditemukan
187,Kopi Janji Jiwa Sukabumi,Jl. Bhayangkara No.38,"4,6",-6.91614,106.917,https://www.google.com/maps/place/Kopi+Janji+Jiwa+Sukabumi/data=!4m7!3m6!1s0x2e6849efd9c58d07:0x6bb97760de4b4c16!8m2!3d-6.916138!4d106.9174114!16s%2Fg%2F11j435w3wf!19sChIJB43F2e9JaC4RFkxL3mB3uWs?authuser=0&hl=id&rclk=1,148,,,Kopi Janji Jiwa Sukabumi Jl. Bhayangkara No.38
188,Red Brick Cafe,Jl. Pelabuhan II No.271,"4,6",-6.94009,106.924,https://www.google.com/maps/place/Red+Brick+Cafe/data=!4m7!3m6!1s0x2e68481a779b386b:0x536ff43d2a289e6e!8m2!3d-6.9400865!4d106.9235813!16s%2Fg%2F11cp77yzq8!19sChIJazibdxpIaC4Rbp4oKj30b1M?authuser=0&hl=id&rclk=1,1727,,,Red Brick Cafe Jl. Pelabuhan II No.271
